1,Facultad de Biología,El Cristo
2,Facultad de Ciencias,Llamaquique
3,Facultad de Derecho,El Cristo
4,Facultad de Economía y Empresa,El Cristo
5,Facultad de Filosofía y Letras,El Milán
6,Facultad de Formación del Profesorado y Educación,Llamaquique
7,Facultad de Geología,Llamaquique
8,Facultad de Medicina y Ciencias de la Salud,El Cristo
9,Escuela de Ingeniería Informática,Los Catalanes
10,Escuela Politécnica de Ingeniería de Gijón,Viesques
11,Facultad de Química,El Cristo
12,Facultad de Enfermería de Gijón,Cabueñes
13,Escuela Politécnica de Mieres,Mieres
14,Facultad de Comercio Turismo y Ciencias Sociales Jovellanos, Gijón
15,Facultad de Psicología,Oviedo
